Date,Close,High,Low,Open,Volume
2022-01-03,6820.1318359375,6889.962537329351,6796.85493547355,6820.1318359375,54287400
2022-01-04,6889.962890625,6936.516693940033,6820.132185652449,6820.132185652449,70624000
2022-01-05,6936.5166015625,7006.347305605075,6866.685897519924,6936.5166015625,76164900
2022-01-06,6959.79296875,7006.3467678720735,6913.2391696279265,6983.069868311037,63657100
2022-01-07,7122.73193359375,7169.285737081291,6983.070523131128,7029.624326618668,143433300
2022-01-10,7076.177734375,7122.731535259046,7029.623933490954,7052.900833932978,45351900
2022-01-11,7169.28515625,7169.28515625,7099.454456676136,7122.731356534091,110334600
2022-01-12,7169.28515625,7169.28515625,7122.731356534091,7169.28515625,62606000
2022-01-13,7169.28515625,7215.838955965909,7122.731356534091,7169.28515625,50025200
2022-01-14,7308.9462890625,7308.9462890625,7122.731096984475,7169.284895003981,65898700
2022-01-17,7215.83935546875,7355.50076234879,7169.285553175403,7355.50076234879,63902600
2022-01-18,7146.00830078125,7239.115900791428,7029.623800768526,7239.115900791428,71476300
2022-01-19,7146.00830078125,7192.562100786339,7052.900700771071,7122.7314007787045,60389700
2022-01-20,7239.11572265625,7239.11572265625,7099.454326077673,7192.561923796725,59925500
2022-01-21,7402.0546875,7402.0546875,7169.285672169811,7239.116376768868,63370500
2022-01-24,7262.392578125,7308.946376702725,7239.115678836138,7285.669477413862,40278300
2022-01-25,7239.11572265625,7239.11572265625,7099.454326077673,7146.008124937199,106796900
2022-01-26,7169.28515625,7215.838955965909,7122.731356534091,7169.28515625,53350200
2022-01-27,7262.392578125,7262.392578125,7099.454283102965,7099.454283102965,71945100
2022-01-28,7239.11572265625,7285.669521515776,7169.285024366962,7262.392622086013,70595000
2022-01-31,7099.455078125,7239.116489497951,7099.455078125,7239.116489497951,68122000
2022-02-02,7262.392578125,7262.392578125,7146.008081680689,7239.115678836138,65308100
2022-02-03,7192.56201171875,7285.66961057595,7169.28511200445,7262.392710861651,35100600
2022-02-04,7192.56201171875,7262.392710861651,7169.28511200445,7215.83891143305,39324700
2022-02-07,7262.392578125,7262.392578125,7169.284980969552,7239.115678836138,56813200
2022-02-08,7192.56201171875,7308.94651029025,7192.56201171875,7215.83891143305,61883100
2022-02-09,7402.0546875,7402.0546875,7262.393278301886,7308.9470813679245,108922200
2022-02-10,7215.83935546875,7402.054564642137,7215.83935546875,7402.054564642137,93277000
2022-02-11,7285.669921875,7285.669921875,7122.731616912939,7146.0085176218045,71968800
2022-02-14,7169.28515625,7239.115855823863,7169.28515625,7215.838955965909,57710700
2022-02-15,7332.2236328125,7332.2236328125,7192.562230282738,7215.839130704365,55617000
2022-02-16,7425.3310546875,7425.3310546875,7285.669655539772,7308.946555397727,77055100
2022-02-17,7355.50048828125,7378.777388560621,7262.392887163765,7308.946687722508,48704600
2022-02-18,7378.77734375,7402.054243888013,7308.946643335962,7402.054243888013,56813400
2022-02-21,7402.0546875,7425.331589033019,7355.500884433962,7378.777785966981,43821700
2022-02-22,7355.50048828125,7402.054288839991,7308.946687722508,7355.50048828125,80095500
2022-02-23,7495.162109375,7541.715911296584,7332.223802649456,7355.500703610248,99240300
2022-02-24,7448.60791015625,7588.269308471679,7378.777210998535,7564.992408752441,124947700
2022-02-25,7495.162109375,7611.546614178959,7378.77760457104,7402.054505531832,135899900
2022-03-01,7495.162109375,7611.546614178959,7448.608307453415,7448.608307453415,136616800
2022-03-02,7425.3310546875,7658.100053267045,7425.3310546875,7658.100053267045,100301000
2022-03-04,7355.50048828125,7471.884989678105,7355.50048828125,7425.3311891193625,132983400
2022-03-07,7169.28515625,7308.946555397727,7169.28515625,7262.392755681818,130990900
2022-03-08,7122.73193359375,7308.947147543914,7122.73193359375,7169.285737081291,119256500
2022-03-09,7308.9462890625,7402.053885101513,7122.731096984475,7169.284895003981,132814500
2022-03-10,7378.77734375,7425.331144026025,7262.392843059937,7378.77734375,86484000
2022-03-11,7402.0546875,7402.0546875,7192.56257370283,7192.56257370283,61053900
2022-03-14,7518.43896484375,7541.715865663699,7402.0544607440015,7495.1620640238,78432100
2022-03-15,7588.26953125,7634.823332055214,7518.438830042178,7588.26953125,111214500
2022-03-16,7634.8232421875,7704.653942573361,7518.438741544397,7704.653942573361,149761300
2022-03-17,7448.60791015625,7727.93070678711,7448.60791015625,7727.93070678711,132439400
2022-03-18,7355.50048828125,7541.715690516218,7355.50048828125,7448.608089398734,143981700
2022-03-21,7355.50048828125,7402.054288839991,7262.392887163765,7262.392887163765,85485500
2022-03-22,7378.77734375,7402.054243888013,7332.223543473975,7355.500443611987,60010900
2022-03-23,7355.50048828125,7402.054288839991,7285.669787443137,7378.777388560621,82208000
2022-03-24,7378.77734375,7402.054243888013,7262.392843059937,7308.946643335962,95245100
2022-03-25,7402.0546875,7402.0546875,7355.500884433962,7355.500884433962,85101200
2022-03-28,7468.228515625,7468.228515625,7373.693977452532,7397.327611995648,83911500
2022-03-29,7420.9609375,7468.228204617834,7397.327303941082,7444.594571058917,62180600
2022-03-30,7444.5947265625,7468.2283606150795,7397.327458457342,7468.2283606150795,71430600
2022-03-31,7539.12939453125,7562.763028996865,7444.594856668788,7491.862125600019,112691900
2022-04-01,7491.86181640625,7633.663617347693,7420.960915935528,7633.663617347693,105575400
2022-04-04,7468.228515625,7491.862150168117,7397.327611995648,7491.862150168117,57321200
2022-04-05,7468.228515625,7468.228515625,7420.961246538765,7468.228515625,48528300
2022-04-06,7326.4267578125,7420.961296622984,7326.4267578125,7397.3276619203625,119263000
2022-04-07,7326.4267578125,7397.3276619203625,7279.159488407258,7302.793123109879,68619400
2022-04-08,7420.9609375,7444.594571058917,7350.060036823248,7373.693670382166,69791600
2022-04-11,7302.79296875,7444.594773968446,7302.79296875,7397.327505562297,62776200
2022-04-12,7373.69384765625,7373.69384765625,7279.159311147836,7302.7929452749395,73471300
2022-04-13,7373.69384765625,7420.961115910456,7326.426579402043,7373.69384765625,57622100
2022-04-14,7279.1591796875,7373.693714488636,7279.1591796875,7373.693714488636,93342900
2022-04-18,7279.1591796875,7302.792813387784,7208.258278586647,7279.1591796875,68464700
2022-04-19,7208.2587890625,7279.159695184426,7208.2587890625,7279.159695184426,98632000
2022-04-20,7231.892578125,7302.793485753677,7208.2589422487745,7302.793485753677,124388800
2022-04-21,7491.86181640625,7491.86181640625,7326.426381974566,7373.693648955047,129323400
2022-04-22,7444.5947265625,7491.861994667659,7373.693824404762,7420.961092509921,85956100
2022-04-25,7562.7626953125,7562.7626953125,7397.32726135254,7444.594528198242,91279600
2022-04-26,7680.93115234375,7680.93115234375,7491.862077824519,7491.862077824519,128360900
2022-04-27,7751.83203125,7751.83203125,7633.66386004192,7633.66386004192,89463100
2022-04-28,7680.93115234375,7799.099323918269,7633.663883713942,7799.099323918269,133730600
2022-05-09,7184.625,7468.2286184210525,7184.625,7444.594983552632,456796600
2022-05-10,7113.7236328125,7184.624532807309,6853.753666164867,6853.753666164867,268445700
2022-05-11,7231.892578125,7279.159849877451,7042.823491115196,7113.724398743872,156535200
2022-05-12,6877.3876953125,7137.357676922251,6877.3876953125,7113.724042230455,240529600
2022-05-13,6924.65478515625,7066.456589630439,6853.753882919155,6853.753882919155,212968600
2022-05-17,6995.55615234375,7066.4570592931805,6877.3879740947,6877.3879740947,159657600
2022-05-18,7160.9912109375,7160.9912109375,6971.922136061263,7090.090307858911,153514300
2022-05-19,7042.8232421875,7066.456877228398,6971.922337064807,6995.555972105705,140908900
2022-05-20,6995.55615234375,7066.4570592931805,6995.55615234375,7019.1897879935605,86520200
2022-05-23,6971.92236328125,7066.456903800318,6948.288728151483,7042.823268670551,71603500
2022-05-24,6948.2880859375,7066.456250664328,6924.654452992134,6924.654452992134,108710800
2022-05-25,6971.92236328125,7042.823268670551,6948.288728151483,6995.555998411017,76747400
2022-05-27,7160.9912109375,7160.9912109375,7066.456673499381,7113.723942218441,84336900
2022-05-30,7160.9912109375,7184.62484529703,7066.456673499381,7160.9912109375,105411400
2022-05-31,7326.4267578125,7326.4267578125,7113.7240454889115,7184.624949596774,286292700
2022-06-02,7160.9912109375,7255.5257483756195,7113.723942218441,7208.25847965656,149226300
2022-06-03,7184.625,7255.525904605263,7160.991365131579,7184.625,80563100
2022-06-06,7042.8232421875,7160.991417391989,7019.189607146603,7137.3577823510905,81140300
2022-06-07,6971.92236328125,7066.456903800318,6901.0214578919495,6901.0214578919495,129242500
2022-06-08,7184.625,7184.625,7019.1895559210525,7090.090460526316,108910500
2022-06-09,7090.08984375,7160.9907421875,7090.08984375,7090.08984375,107828300
2022-06-10,6948.2880859375,7042.822617718963,6948.2880859375,6995.555351828231,111768600
2022-06-13,6948.2880859375,6995.555351828231,6877.387187101403,6901.020820046769,85539500
2022-06-14,6995.55615234375,6995.55615234375,6853.75433844489,6901.02160974451,80865100
2022-06-15,6924.65478515625,6971.922053314313,6901.021151077219,6901.021151077219,130367100
2022-06-16,7160.9912109375,7184.62484529703,6971.922136061263,6995.555770420792,132666300
2022-06-17,7090.08984375,7137.357109375,7019.1889453124995,7019.1889453124995,117839400
2022-06-20,7208.2587890625,7231.892424436475,7090.090612192623,7184.625153688525,88138700
2022-06-21,7231.892578125,7231.892578125,7137.358034620098,7184.625306372549,44295700
2022-06-22,7090.08984375,7231.891640625,7090.08984375,7208.2580078125,53041800
2022-06-23,7113.7236328125,7160.990899475706,7042.822732817691,7042.822732817691,60443000
